sku,_store,_attribute_set,_type,_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,_media_image,_media_position,_media_is_disabled,_media_attribute_id
1033,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre botón y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1033.jpg,,,,,,,,,,"Usar configuración","Usar configuración","El Puerto Conil.  Ref.1033",,,"Bloque después de la columna de Información",,32.0000,0,"Cordones de Cuero con cierre botón y piezas de metal en Zamak bañado en plata.",/ref1033.jpg,,,,,1,2,/ref1033.jpg,,"2011-10-02 12:18:27",elpuertoconil,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1033.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1033a1.jpg,2,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1033a2.jpg,3,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1033a3.jpg,4,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1033a4.jpg,5,0,80
1034,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Base rígida de Cuero y cordón de algodón, cierre garfio y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1034.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Lobo de Mar 1034",,,"Bloque después de la columna de Información",,20.0000,0,"Base rígida de Cuero y cordón de algodón, cierre garfio y piezas de metal en Zamak bañado en plata.",/ref1034.jpg,,,,,1,2,/ref1034.jpg,,"2011-10-02 12:18:27",lobodemar1034,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1034.jpg,1,0,80
1036,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Base rígida de Cuero forrada con hilo de algodón, cierre garfio y piezas de metal en zamak bañado en plata.",1,,,0,/ref1036.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Lobo de Mar 1036",,,"Bloque después de la columna de Información",,20.0000,0,"Base rígida de Cuero forrada con hilo de algodón, cierre garfio y piezas de metal en zamak bañado en plata.",/ref1036.jpg,,,,,1,2,/ref1036.jpg,,"2011-10-02 12:18:27",lobodemar1036,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1036.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1036a1.jpg,2,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1036a2.jpg,3,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1036a3.jpg,4,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1036a4.jpg,5,0,80
1038,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre imán plano en Zamak bañado en plata.",1,,,0,/ref1038.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Bahia.  Ref.1038",,,"Bloque después de la columna de Información",,20.0000,0,"Cordones de Cuero con cierre imán plano en Zamak bañado en plata.",/ref1038.jpg,,,,,1,2,/ref1038.jpg,,"2011-10-02 12:18:27",bahia,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1038.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1038a1.jpg,2,0,80
1039,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Base rígida de Cuero con cierre garfio y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1039.jpg,,,,,,,,,,"Usar configuración","Usar configuración","El Palmar.  Ref.1039",,,"Bloque después de la columna de Información",,24.0000,0,"Base rígida de Cuero con cierre garfio y piezas de metal en Zamak bañado en plata.",/ref1039.jpg,,,,,1,2,/ref1039.jpg,,"2011-10-02 12:18:27",elpalmar,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1039.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1039a1.jpg,2,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1039a2.jpg,3,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1039a3.jpg,4,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1039a4.jpg,5,0,80
1040,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordón de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1040.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Tavira Brazalete.  Ref.1040",,,"Bloque después de la columna de Información",,28.0000,0,"Cordón de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.",/ref1040.jpg,,,,,1,2,/ref1040.jpg,,"2011-10-02 12:18:27",tavirabrazalete,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1040.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1040a1.jpg,2,0,80
1041,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordón de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1041.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Tavira Doble.  Ref.1041",,,"Bloque después de la columna de Información",,25.0000,0,"Cordón de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.",/ref1041.jpg,,,,,1,2,/ref1041.jpg,,"2011-10-02 12:18:27",taviradoble,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1041.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1041a1.jpg,2,0,80
1043,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Trenza de Cuero con cierre imán plano en Zamak bañado en plata.",1,,,0,/ref1043.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Trenzada.  Ref.1043",,,"Bloque después de la columna de Información",,19.0000,0,"Trenza de Cuero con cierre imán plano en Zamak bañado en plata.",/ref1043.jpg,,,,,1,2,/ref1043.jpg,,"2011-10-02 12:18:27",trenzada,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1043.jpg,1,0,80
1044,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre visagra y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1044.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Sancti Petri.  Ref.1044",,,"Bloque después de la columna de Información",,24.0000,0,"Cordones de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.",/ref1044.jpg,,,,,1,2,/ref1044.jpg,,"2011-10-02 12:18:27",sanctipetri,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1044.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1044a1.jpg,2,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1044a2.jpg,3,0,80
1045,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1045.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Duna.  Ref.1045",,,"Bloque después de la columna de Información",,26.0000,0,"Cordones de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.",/ref1045.jpg,,,,,2,2,/ref1045.jpg,,"2011-10-02 12:18:27",duna,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1045.jpg,1,0,80
1049,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre imán de T y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1049.jpg,,,,,,,,,,"Usar configuración","Usar configuración","2 Nudos Plata.  Ref.1049",,,"Bloque después de la columna de Información",,26.0000,0,"Cordones de Cuero con cierre imán de T y piezas de metal en Zamak bañado en plata.",/ref1049.jpg,,,,,1,2,/ref1049.jpg,,"2011-10-02 12:18:27",2-nudos-plata,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1049.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1049a1.jpg,2,0,80
1050,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre imán en T y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1050.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Nudo.  Ref.1050",,,"Bloque después de la columna de Información",,22.0000,0,"Cordones de Cuero con cierre imán en T y piezas de metal en Zamak bañado en plata.",/ref1050.jpg,,,,,1,2,/ref1050.jpg,,"2011-10-02 12:18:27",nudo,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1050.jpg,1,0,80
1052,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1052.jpg,,,,,,,,,,"Usar configuración","Usar configuración","El Puerto 14.  Ref.1052",,,"Bloque después de la columna de Información",,38.0000,0,"Cordones de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.",/ref1052.jpg,,,,,1,2,/ref1052.jpg,,"2011-10-02 12:18:27",elpuerto14,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1052.jpg,1,0,80
